Time (s),"Lp (A, Fast) [dB]"
0.000,60.84
0.100,59.70
0.200,59.31
0.300,58.93
0.400,58.92
0.500,58.60
0.600,58.58
0.700,58.30
0.800,58.49
0.900,58.69
1.000,58.86
1.100,58.44
1.200,58.64
1.300,58.55
1.400,58.55
1.500,58.39
1.600,58.70
1.700,58.55
1.800,58.73
1.900,58.59
2.000,58.60
2.100,58.29
2.200,58.15
2.300,58.34
2.400,58.46
2.500,58.40
2.600,58.74
2.700,58.76
2.800,58.66
2.900,58.62
3.000,58.42
3.100,58.42
3.200,58.39
3.300,58.69
3.400,58.34
3.500,58.52
3.600,58.20
3.700,58.19
3.800,58.20
3.900,58.35
4.000,58.78
4.100,58.64
4.200,58.69
4.300,58.59
4.400,58.27
4.500,58.19
4.600,58.16
4.700,57.96
4.800,58.06
4.900,58.40
5.000,58.42
5.100,58.33
5.200,58.80
5.300,58.89
5.400,58.80
5.500,58.62
5.600,58.99
5.700,58.48
5.800,58.51
5.900,58.49
6.000,58.71
6.100,58.59
6.200,59.23
6.300,59.12
6.400,58.79
6.500,58.54
6.600,58.75
6.700,58.59
6.800,58.79
6.900,58.72
7.000,58.62
7.100,58.55
7.200,58.98
7.300,58.98
7.400,58.59
7.500,58.66
7.600,58.49
7.700,58.82
7.800,58.79
7.900,58.86
8.000,58.89
8.100,59.03
8.200,58.62
8.300,58.92
8.400,58.90
8.500,59.13
8.600,59.00
8.700,59.12
8.800,59.02
8.900,58.93
9.000,58.92
9.100,58.96
9.200,58.82
9.300,59.00
9.400,59.00
9.500,58.86
9.600,59.12
9.700,59.04
9.800,59.11
9.900,58.62
10.000,58.96
10.100,58.60
10.200,58.77
10.300,58.53
10.400,58.39
10.500,58.45
10.600,58.94
10.700,58.73
10.800,59.13
10.900,58.95
11.000,58.89
11.100,58.69
11.200,58.83
11.300,58.75
11.400,58.77
11.500,58.73
11.600,58.77
11.700,58.62
11.800,58.57
11.900,58.51
12.000,58.81
12.100,59.11
12.200,59.09
12.300,59.36
12.400,59.14
12.500,59.12
12.600,58.87
12.700,58.88
12.800,58.88
12.900,59.28
13.000,59.25
13.100,59.27
13.200,59.10
13.300,59.34
13.400,59.62
13.500,59.66
13.600,59.81
13.700,59.84
13.800,59.68
13.900,59.40
14.000,59.54
14.100,59.60
14.200,59.59
14.300,59.19
14.400,59.42
14.500,59.20
14.600,59.56
14.700,59.44
14.800,59.63
14.900,61.25
15.000,63.28
15.100,65.07
15.200,65.68
15.300,66.31
15.400,66.50
15.500,67.07
15.600,67.47
15.700,68.13
15.800,68.71
15.900,68.69
16.000,68.59
16.100,68.49
16.200,68.57
16.300,68.51
16.400,68.95
16.500,68.88
16.600,68.77
16.700,68.74
16.800,68.69
16.900,68.89
17.000,68.92
17.100,69.12
17.200,69.62
17.300,69.83
17.400,70.15
17.500,70.33
17.600,71.06
17.700,71.22
17.800,71.75
17.900,72.03
18.000,72.04
18.100,72.16
18.200,72.36
18.300,72.43
18.400,72.64
18.500,72.41
18.600,72.40
18.700,72.54
18.800,72.43
18.900,72.46
19.000,72.68
19.100,72.78
19.200,72.82
19.300,72.67
19.400,72.73
19.500,72.78
19.600,72.88
19.700,72.85
19.800,72.81
19.900,72.75
20.000,72.74
20.100,72.96
20.200,73.17
20.300,73.22
20.400,73.77
20.500,73.87
20.600,74.10
20.700,74.19
20.800,74.47
20.900,74.62
21.000,74.92
21.100,74.91
21.200,75.11
21.300,75.32
21.400,75.74
21.500,75.64
21.600,74.80
21.700,73.44
21.800,72.24
21.900,71.04
22.000,70.43
22.100,70.01
22.200,69.96
22.300,69.84
22.400,69.50
22.500,69.10
22.600,68.72
22.700,68.45
22.800,68.31
22.900,68.01
23.000,67.85
23.100,67.60
23.200,67.39
23.300,67.17
23.400,66.74
23.500,66.66
23.600,66.03
23.700,65.34
23.800,64.97
23.900,64.33
24.000,63.98
24.100,64.00
24.200,64.51
24.300,65.76
24.400,66.34
24.500,67.07
24.600,67.48
24.700,68.18
24.800,68.60
24.900,68.41
25.000,68.49
25.100,68.52
25.200,69.03
25.300,68.40
25.400,68.96
25.500,68.80
25.600,69.25
25.700,68.95
25.800,69.37
25.900,69.61
26.000,69.80
26.100,69.38
26.200,69.50
26.300,69.36
26.400,69.72
26.500,69.52
26.600,69.44
26.700,69.74
26.800,70.02
26.900,69.72
27.000,69.78
27.100,69.77
27.200,70.07
27.300,70.07
27.400,69.81
27.500,69.76
27.600,69.29
27.700,69.46
27.800,69.24
27.900,69.58
28.000,69.21
28.100,69.60
28.200,69.30
28.300,69.65
28.400,69.47
28.500,69.59
28.600,69.43
28.700,69.55
28.800,69.50
28.900,69.53
29.000,69.20
29.100,69.17
29.200,69.10
29.300,69.47
29.400,69.20
29.500,69.65
29.600,69.50
29.700,69.74
29.800,69.56
29.900,69.41
30.000,69.46
30.100,69.50
30.200,69.80
30.300,69.51
30.400,69.67
30.500,69.52
30.600,69.76
30.700,69.42
30.800,69.49
30.900,69.33
31.000,69.64
31.100,69.80
31.200,69.95
31.300,69.55
31.400,69.78
31.500,69.53
31.600,69.93
31.700,69.82
31.800,70.07
31.900,69.97
32.000,69.94
32.100,69.95
32.200,69.41
32.300,69.70
32.400,69.35
32.500,69.51
32.600,69.57
32.700,69.78
32.800,69.68
32.900,69.73
33.000,69.47
33.100,69.56
33.200,69.41
33.300,69.49
33.400,69.27
33.500,69.28
33.600,69.25
33.700,69.77
33.800,69.76
33.900,69.94
34.000,69.65
34.100,69.57
34.200,69.46
34.300,69.14
34.400,69.15
34.500,69.30
34.600,69.59
34.700,69.29
34.800,69.46
34.900,69.66
35.000,69.76
35.100,69.67
35.200,69.70
35.300,69.34
35.400,69.52
35.500,69.59
35.600,69.54
35.700,69.61
35.800,69.87
35.900,69.68
36.000,69.72
36.100,69.55
36.200,69.38
36.300,69.35
36.400,69.51
36.500,69.50
36.600,69.48
36.700,69.84
36.800,69.43
36.900,69.34
37.000,69.36
37.100,69.43
37.200,69.49
37.300,69.31
37.400,69.59
37.500,69.70
37.600,69.45
37.700,69.59
37.800,69.21
37.900,69.29
38.000,69.11
38.100,69.79
38.200,69.52
38.300,69.60
38.400,69.44
38.500,68.93
38.600,68.93
38.700,68.73
38.800,68.85
38.900,68.58
39.000,68.75
39.100,68.84
39.200,68.91
39.300,68.92
39.400,69.60
39.500,69.51
