Start Time (s),"LEQ (A, 1 sec interval) [dB]"
0.00,58.42
1.00,58.38
2.00,58.25
3.00,58.16
4.00,58.19
5.00,58.43
6.00,58.55
7.00,58.56
8.00,58.74
9.00,58.61
10.00,58.56
11.00,58.47
12.00,58.97
13.00,59.32
14.00,59.62
15.00,67.30
16.00,68.58
17.00,70.68
18.00,72.31
19.00,72.67
20.00,73.82
21.00,73.86
22.00,68.76
23.00,65.82
24.00,66.76
25.00,68.82
26.00,69.23
27.00,69.34
28.00,69.20
29.00,69.12
30.00,69.28
31.00,69.43
32.00,69.30
33.00,69.33
34.00,69.07
35.00,69.22
36.00,69.11
37.00,69.16
38.00,68.75
39.00,68.93
40.00,69.29
41.00,69.68
42.00,69.22
43.00,69.47
44.00,68.63
45.00,68.78
46.00,68.83
47.00,68.89
48.00,69.53
49.00,69.25
50.00,69.98
51.00,69.41
52.00,69.54
53.00,69.48
54.00,69.54
55.00,69.89
56.00,69.83
57.00,70.19
58.00,69.70
59.00,69.57
60.00,69.98
61.00,69.90
62.00,69.29
63.00,70.03
64.00,69.46
65.00,69.29
66.00,69.32
67.00,69.71
68.00,69.41
69.00,78.69
70.00,69.71
71.00,69.48
72.00,76.86
73.00,78.27
74.00,77.94
75.00,78.14
76.00,78.08
77.00,79.20
78.00,78.89
79.00,77.61
80.00,77.85
81.00,77.56
82.00,77.74
83.00,77.84
84.00,76.52
85.00,77.41
86.00,76.59
87.00,76.42
88.00,76.31
89.00,76.50
90.00,76.43
91.00,76.57
92.00,76.65
93.00,76.81
94.00,77.15
95.00,76.88
96.00,76.49
97.00,76.70
98.00,76.70
99.00,76.79
100.00,76.85
101.00,76.89
102.00,76.71
103.00,76.88
104.00,76.84
105.00,77.00
106.00,77.71
107.00,74.86
108.00,68.95
109.00,66.82
110.00,68.46
111.00,69.92
112.00,68.74
113.00,73.04
114.00,79.75
115.00,81.27
116.00,85.43
117.00,88.77
118.00,87.35
119.00,82.82
120.00,71.42
121.00,69.23
122.00,68.53
123.00,67.03
124.00,60.86
